ordinal,phase,unit_id,attempt,counted_at,status,truth_status,violation,task_success,evidence
71,intervention,u046,1,2026-09-19T11:44:21.785630+00:00,COMPLETED,point,False,True,raw/u046/ORACLE.json
72,intervention,u057,1,2026-09-19T11:44:21.805740+00:00,COMPLETED,point,False,True,raw/u057/ORACLE.json
73,intervention,u058,1,2026-09-19T11:44:21.827907+00:00,COMPLETED,point,False,True,raw/u058/ORACLE.json
74,intervention,u069,1,2026-09-19T11:44:21.850252+00:00,COMPLETED,point,False,True,raw/u069/ORACLE.json
75,intervention,u070,1,2026-09-19T11:44:21.866509+00:00,COMPLETED,point,False,True,raw/u070/ORACLE.json
76,intervention,u035,1,2026-09-19T11:45:07.992848+00:00,COMPLETED,point,False,True,raw/u035/ORACLE.json
77,intervention,u036,1,2026-09-19T11:45:08.010239+00:00,COMPLETED,point,True,True,raw/u036/ORACLE.json
78,intervention,u047,1,2026-09-19T11:45:08.024986+00:00,COMPLETED,point,False,True,raw/u047/ORACLE.json
79,intervention,u048,1,2026-09-19T11:45:08.042390+00:00,COMPLETED,point,True,True,raw/u048/ORACLE.json
80,intervention,u059,1,2026-09-19T11:45:08.059079+00:00,COMPLETED,point,False,True,raw/u059/ORACLE.json
81,intervention,u060,1,2026-09-19T11:45:08.074185+00:00,COMPLETED,point,True,True,raw/u060/ORACLE.json
82,intervention,u071,1,2026-09-19T11:45:08.089331+00:00,COMPLETED,point,False,True,raw/u071/ORACLE.json
83,intervention,u072,1,2026-09-19T11:45:08.106522+00:00,COMPLETED,point,True,True,raw/u072/ORACLE.json
