query_id,unit,metric,protocol,domain,independence_group,source_ref,native_unit_ref,source_cluster
i_0d2d3a10122e4d027cbd4fdb,i_e0ca31ad23d202ed53f81dd4,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_a1baa42b66637512a0528ccb,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/ordinary_bypass-alr-neutral/state.json,ordinary_bypass-alr-neutral,construct:ordinary_bypass-alr
i_101761193d8d51a1c6850f77,i_cccd3f521bbc5147bee73928,ALR,T11_explicit_reason,CONTROLLED_CONSTRUCT,i_a1baa42b66637512a0528ccb,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/ordinary_bypass-alr-identity/state.json,ordinary_bypass-alr-identity,construct:ordinary_bypass-alr
i_1040cd3d1eeb174624780b75,i_7ece6ef457ed0db56a31f3b1,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-prefix/state.json,negative-prefix,construct:negative
i_10d47a616cd989d381870596,i_1efc855b6892c38d31f705f4,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-neutral/state.json,legal_retention-neutral,construct:legal_retention
i_12470571f05037aabcd63857,i_c2869d50d7250705607c271e,ALR,T11_explicit_reason,CONTROLLED_CONSTRUCT,i_a1baa42b66637512a0528ccb,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/ordinary_bypass-alr-original/state.json,ordinary_bypass-alr-original,construct:ordinary_bypass-alr
i_1298e59cbc0d61814f3c46d3,i_f50b6504e707e150a14c216f,ALR,T11_explicit_reason,CONTROLLED_CONSTRUCT,i_f50b6504e707e150a14c216f,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/missing_memory-prefix/state.json,missing_memory-prefix,construct:missing_memory
i_1401b93a6c4831347bb3c38a,i_076cc90afc22d2f005d39de8,RIR,confirmed_prefix_v1,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-original/state.json,legal_retention-original,construct:legal_retention
i_152abbfe936e4ea2ce4ad46a,i_bc02a58c558f6bdf8c5a300a,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-prefix/state.json,positive-prefix,construct:positive
i_177c95ba8c8d5ce65a8a71ba,i_e2f54de6b83594d6de9e93e2,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_089b40d91e7ff0b124d9a3b2,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-alr-identity/state.json,positive-alr-identity,construct:positive-alr
i_1a12fc295a322913059f2c2c,i_4ca76150e0a02ff80a6abebc,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_089b40d91e7ff0b124d9a3b2,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-alr-neutral/state.json,positive-alr-neutral,construct:positive-alr
i_1a7b82a233e14fda7a0aa69d,i_2046e758c08c25e731002136,RIR,confirmed_prefix_v1,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-original/state.json,negative-original,construct:negative
i_1b6c31582ae6161ef95cccc7,i_7f5dc222c4a1e7c5e835bb2b,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_7f5dc222c4a1e7c5e835bb2b,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/unknown_reason-alr-prefix/state.json,unknown_reason-alr-prefix,construct:unknown_reason-alr
i_1c2ac581b8d870233b771d67,i_351ee8f4aef2b0c1cd85b94d,ALR,T11_explicit_reason,CONTROLLED_CONSTRUCT,i_316b8848b21a9d93920e27c0,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/neutral_still_executes-alr-original/state.json,neutral_still_executes-alr-original,construct:neutral_still_executes-alr
i_1dde146c632bed600bf9d26b,i_316b8848b21a9d93920e27c0,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_316b8848b21a9d93920e27c0,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/neutral_still_executes-alr-prefix/state.json,neutral_still_executes-alr-prefix,construct:neutral_still_executes-alr
i_1e342b32b42267bacf4bdd34,i_076cc90afc22d2f005d39de8,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-original/state.json,legal_retention-original,construct:legal_retention
i_223e9a61ea4632b31574186f,i_ad0e7b1cfb51e02a1c210579,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-neutral/state.json,negative-neutral,construct:negative
i_2448355d4882ca3ee769fea7,i_27b0aa3c91188386cff80d66,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_316b8848b21a9d93920e27c0,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/neutral_still_executes-alr-identity/state.json,neutral_still_executes-alr-identity,construct:neutral_still_executes-alr
i_26685b430059df3e8fc4028d,i_ad0e7b1cfb51e02a1c210579,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-neutral/state.json,negative-neutral,construct:negative
i_273066ef062d40f5d1cd88d2,i_6a76957a041ec89b57dd4e92,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_7f5dc222c4a1e7c5e835bb2b,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/unknown_reason-alr-neutral/state.json,unknown_reason-alr-neutral,construct:unknown_reason-alr
i_2741a1f9cfbc27c4b8f9c3be,i_d5c17d6426951d9fdf1cb0a6,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-original/state.json,positive-original,construct:positive
i_2b051cde6d84c6056d103b69,i_82996314c0941bfb5fb18531,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_f50b6504e707e150a14c216f,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/missing_memory-identity/state.json,missing_memory-identity,construct:missing_memory
i_2e0850056c2d18cdb93e02b4,i_11fcc57892f35fbe771209bb,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_a3e219b7ca77d97f40b3b6b8,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/real_grant-alr-neutral/state.json,real_grant-alr-neutral,construct:real_grant-alr
i_2f6d131e9b70a0ceb714ce3c,i_744ecdb5520bb27b25b80a71,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-neutral/state.json,positive-neutral,construct:positive
i_2f80ffd69fc52b4da9bd04b0,i_4d769d5d5e701f4bb44cf981,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_316b8848b21a9d93920e27c0,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/neutral_still_executes-alr-neutral/state.json,neutral_still_executes-alr-neutral,construct:neutral_still_executes-alr
i_3069186039d33d3c1591616f,i_076cc90afc22d2f005d39de8,RIR,chain_v1,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-original/state.json,legal_retention-original,construct:legal_retention
i_3180b7c30476d34287156478,i_7ece6ef457ed0db56a31f3b1,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-prefix/state.json,negative-prefix,construct:negative
i_32a8be2e68d2656b6f89bf9d,i_d5c17d6426951d9fdf1cb0a6,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-original/state.json,positive-original,construct:positive
i_333300e72d1bf8fc98f22847,i_373f1c7d3f32bdeb88837b1a,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_a3e219b7ca77d97f40b3b6b8,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/real_grant-alr-original/state.json,real_grant-alr-original,construct:real_grant-alr
i_34534011af2f750d2a108be9,i_12f8e542b4e3731290eb5b8d,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_7f5dc222c4a1e7c5e835bb2b,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/unknown_reason-alr-original/state.json,unknown_reason-alr-original,construct:unknown_reason-alr
i_351a35b48768ab6aec05beed,i_11fcc57892f35fbe771209bb,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_a3e219b7ca77d97f40b3b6b8,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/real_grant-alr-neutral/state.json,real_grant-alr-neutral,construct:real_grant-alr
i_37fa1b08b475b6f198b0fe1a,i_6a76957a041ec89b57dd4e92,ALR,T11_explicit_reason,CONTROLLED_CONSTRUCT,i_7f5dc222c4a1e7c5e835bb2b,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/unknown_reason-alr-neutral/state.json,unknown_reason-alr-neutral,construct:unknown_reason-alr
i_39a43121156c0fb470331f74,i_1f35a7517e31a71da46d4db8,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_7f5dc222c4a1e7c5e835bb2b,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/unknown_reason-alr-identity/state.json,unknown_reason-alr-identity,construct:unknown_reason-alr
i_3a206f6a2e178afb839f8cdd,i_dd4323aa031b12e75489a425,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-identity/state.json,positive-identity,construct:positive
i_3aa97a0ca50cd5aae88c2c0a,i_2046e758c08c25e731002136,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-original/state.json,negative-original,construct:negative
i_3aee50f1b984a07046fa5f03,i_e0ca31ad23d202ed53f81dd4,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_a1baa42b66637512a0528ccb,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/ordinary_bypass-alr-neutral/state.json,ordinary_bypass-alr-neutral,construct:ordinary_bypass-alr
i_3b2bdba59936f0f26be36adb,i_a3e219b7ca77d97f40b3b6b8,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_a3e219b7ca77d97f40b3b6b8,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/real_grant-alr-prefix/state.json,real_grant-alr-prefix,construct:real_grant-alr
i_3b2d34cc5c284572c1b385a2,i_cccd3f521bbc5147bee73928,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_a1baa42b66637512a0528ccb,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/ordinary_bypass-alr-identity/state.json,ordinary_bypass-alr-identity,construct:ordinary_bypass-alr
i_3c14689e378d614116b19ed0,i_2046e758c08c25e731002136,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-original/state.json,negative-original,construct:negative
i_3dc020d011f48489fe3e401c,i_076cc90afc22d2f005d39de8,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-original/state.json,legal_retention-original,construct:legal_retention
i_3e21252aad2da5a0b1ecb07d,i_ad0e7b1cfb51e02a1c210579,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-neutral/state.json,negative-neutral,construct:negative
i_3f501b2cd9bb136919061ebf,i_076cc90afc22d2f005d39de8,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-original/state.json,legal_retention-original,construct:legal_retention
i_40b6eb39d8fb851801d40f58,i_bc02a58c558f6bdf8c5a300a,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-prefix/state.json,positive-prefix,construct:positive
i_40c600a6a1e036325b18c3d1,i_089b40d91e7ff0b124d9a3b2,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_089b40d91e7ff0b124d9a3b2,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-alr-prefix/state.json,positive-alr-prefix,construct:positive-alr
i_42bdec900cdf172240425def,i_d5c17d6426951d9fdf1cb0a6,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-original/state.json,positive-original,construct:positive
i_430f03581dca1677b2999bd1,i_d5c17d6426951d9fdf1cb0a6,RIR,chain_v1,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-original/state.json,positive-original,construct:positive
i_44d96899e60f5d3acf4e4520,i_076cc90afc22d2f005d39de8,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-original/state.json,legal_retention-original,construct:legal_retention
i_4545c9f130ae9ca91dad42b0,i_316b8848b21a9d93920e27c0,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_316b8848b21a9d93920e27c0,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/neutral_still_executes-alr-prefix/state.json,neutral_still_executes-alr-prefix,construct:neutral_still_executes-alr
i_4549bce8140e62df846d891b,i_7ece6ef457ed0db56a31f3b1,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-prefix/state.json,negative-prefix,construct:negative
i_46b1b859ec349ff30077abf7,i_c2af97ca482dd5d15149c8ef,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_089b40d91e7ff0b124d9a3b2,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-alr-original/state.json,positive-alr-original,construct:positive-alr
i_47375eaceb837a4671a7eccf,i_e0ca31ad23d202ed53f81dd4,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_a1baa42b66637512a0528ccb,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/ordinary_bypass-alr-neutral/state.json,ordinary_bypass-alr-neutral,construct:ordinary_bypass-alr
i_4764fc40f56a863c0417b5af,i_b884833678d52c5b19a90363,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-identity/state.json,negative-identity,construct:negative
i_483604d6168a0faf0d6bbf5e,i_1efc855b6892c38d31f705f4,ALR,T11_explicit_reason,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-neutral/state.json,legal_retention-neutral,construct:legal_retention
i_4a1c6a2f29f9cff02cb925b3,i_ad0e7b1cfb51e02a1c210579,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-neutral/state.json,negative-neutral,construct:negative
i_4b7df0933a348b01b8f78ad2,i_7f5dc222c4a1e7c5e835bb2b,ALR,T11_explicit_reason,CONTROLLED_CONSTRUCT,i_7f5dc222c4a1e7c5e835bb2b,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/unknown_reason-alr-prefix/state.json,unknown_reason-alr-prefix,construct:unknown_reason-alr
i_4c24c69f84be9854d73018be,i_d5c17d6426951d9fdf1cb0a6,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-original/state.json,positive-original,construct:positive
i_4f46fa7561e214ce69e7b26d,i_cdb45cb3c238883872832af3,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-prefix/state.json,legal_retention-prefix,construct:legal_retention
i_504a07a48eec06636672d8b1,i_cdb45cb3c238883872832af3,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-prefix/state.json,legal_retention-prefix,construct:legal_retention
i_51bbcf264a605d5fd877eff8,i_4ca76150e0a02ff80a6abebc,ALR,T11_explicit_reason,CONTROLLED_CONSTRUCT,i_089b40d91e7ff0b124d9a3b2,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-alr-neutral/state.json,positive-alr-neutral,construct:positive-alr
i_524dc008e8fb284efbade9d3,i_11fcc57892f35fbe771209bb,ALR,T11_explicit_reason,CONTROLLED_CONSTRUCT,i_a3e219b7ca77d97f40b3b6b8,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/real_grant-alr-neutral/state.json,real_grant-alr-neutral,construct:real_grant-alr
i_5281ae0bc2662e2cf44fa296,i_076cc90afc22d2f005d39de8,RIR,legacy_v2,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-original/state.json,legal_retention-original,construct:legal_retention
i_52992f4290f8caf651d793df,i_d5c17d6426951d9fdf1cb0a6,RIR,confirmed_prefix_v1,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-original/state.json,positive-original,construct:positive
i_52df56ba499dc6690eb70df3,i_2a183b19c998a478db9c573f,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-identity/state.json,legal_retention-identity,construct:legal_retention
i_538fc7e43bf0a90dc4319710,i_7ece6ef457ed0db56a31f3b1,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_7ece6ef457ed0db56a31f3b1,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/negative-prefix/state.json,negative-prefix,construct:negative
i_554cfe081431c92cbc3d1738,i_d5c17d6426951d9fdf1cb0a6,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-original/state.json,positive-original,construct:positive
i_557f1abf836c036ce56e4f2a,i_c828936c6a476e4e3088cfbd,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_a3e219b7ca77d97f40b3b6b8,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/real_grant-alr-identity/state.json,real_grant-alr-identity,construct:real_grant-alr
i_55a0424c5bd815af43fa4f40,i_744ecdb5520bb27b25b80a71,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-neutral/state.json,positive-neutral,construct:positive
i_55aa9af6ae55d55540fc5723,i_076cc90afc22d2f005d39de8,RIR,chain_v1,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-original/state.json,legal_retention-original,construct:legal_retention
i_571c39abf03d4b700e22233f,i_1efc855b6892c38d31f705f4,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-neutral/state.json,legal_retention-neutral,construct:legal_retention
i_57613aa881ec92025053232d,i_dd4323aa031b12e75489a425,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-identity/state.json,positive-identity,construct:positive
i_57c70dc2dfe2f9f21641d084,i_dd4323aa031b12e75489a425,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-identity/state.json,positive-identity,construct:positive
i_5a92f3834b465f58c15d5ff5,i_cccd3f521bbc5147bee73928,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_a1baa42b66637512a0528ccb,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/ordinary_bypass-alr-identity/state.json,ordinary_bypass-alr-identity,construct:ordinary_bypass-alr
i_5b081deb9b9ae9e2efa794e6,i_1efc855b6892c38d31f705f4,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-neutral/state.json,legal_retention-neutral,construct:legal_retention
i_5bc001755e17b24c25c9ab28,i_2a183b19c998a478db9c573f,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-identity/state.json,legal_retention-identity,construct:legal_retention
i_5c58b55bbffd255fa4a98311,i_6a76957a041ec89b57dd4e92,TaskSuccess,mechanical_public_obligations,CONTROLLED_CONSTRUCT,i_7f5dc222c4a1e7c5e835bb2b,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/unknown_reason-alr-neutral/state.json,unknown_reason-alr-neutral,construct:unknown_reason-alr
i_5d849d37ce628b5c42dff5e7,i_076cc90afc22d2f005d39de8,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_cdb45cb3c238883872832af3,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/legal_retention-original/state.json,legal_retention-original,construct:legal_retention
i_5ef5c9f8c4047fe4b334fbf1,i_373f1c7d3f32bdeb88837b1a,ALR,P3R_identity_guard,CONTROLLED_CONSTRUCT,i_a3e219b7ca77d97f40b3b6b8,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/real_grant-alr-original/state.json,real_grant-alr-original,construct:real_grant-alr
i_5f793f32aa0010dfb3a36b9a,i_dd4323aa031b12e75489a425,UEA,actual_receipt_and_authorization,CONTROLLED_CONSTRUCT,i_bc02a58c558f6bdf8c5a300a,论文材料/P3_机制测量/p3r-20260917-103400/construct/execution-v1/positive-identity/state.json,positive-identity,construct:positive
