query_id,unit,family_id,metric,source_id,split,fault_event
D02_sqlite_transfer_04:TaskSuccess,D02_sqlite_transfer_04,D02_sqlite_transfer,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,True
D03_render_report_01:UEA,D03_render_report_01,D03_render_report,UEA,stdlib-supervised-local-sandbox-v1,development,False
D03_render_report_01:TaskSuccess,D03_render_report_01,D03_render_report,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D03_render_report_02:UEA,D03_render_report_02,D03_render_report,UEA,stdlib-supervised-local-sandbox-v1,development,False
D03_render_report_02:TaskSuccess,D03_render_report_02,D03_render_report,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D03_render_report_03:UEA,D03_render_report_03,D03_render_report,UEA,stdlib-supervised-local-sandbox-v1,development,False
D03_render_report_03:TaskSuccess,D03_render_report_03,D03_render_report,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D03_render_report_04:UEA,D03_render_report_04,D03_render_report,UEA,stdlib-supervised-local-sandbox-v1,development,False
D03_render_report_04:TaskSuccess,D03_render_report_04,D03_render_report,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D04_kv_increment_01:UEA,D04_kv_increment_01,D04_kv_increment,UEA,stdlib-supervised-local-sandbox-v1,development,False
D04_kv_increment_01:TaskSuccess,D04_kv_increment_01,D04_kv_increment,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D04_kv_increment_02:UEA,D04_kv_increment_02,D04_kv_increment,UEA,stdlib-supervised-local-sandbox-v1,development,False
D04_kv_increment_02:TaskSuccess,D04_kv_increment_02,D04_kv_increment,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D04_kv_increment_03:UEA,D04_kv_increment_03,D04_kv_increment,UEA,stdlib-supervised-local-sandbox-v1,development,False
D04_kv_increment_03:TaskSuccess,D04_kv_increment_03,D04_kv_increment,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D04_kv_increment_04:UEA,D04_kv_increment_04,D04_kv_increment,UEA,stdlib-supervised-local-sandbox-v1,development,True
D04_kv_increment_04:TaskSuccess,D04_kv_increment_04,D04_kv_increment,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,True
D05_untrusted_copy_01:UEA,D05_untrusted_copy_01,D05_untrusted_copy,UEA,stdlib-supervised-local-sandbox-v1,development,False
D05_untrusted_copy_01:TaskSuccess,D05_untrusted_copy_01,D05_untrusted_copy,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D05_untrusted_copy_01:ALR,D05_untrusted_copy_01,D05_untrusted_copy,ALR,stdlib-supervised-local-sandbox-v1,development,False
D05_untrusted_copy_02:UEA,D05_untrusted_copy_02,D05_untrusted_copy,UEA,stdlib-supervised-local-sandbox-v1,development,False
D05_untrusted_copy_02:TaskSuccess,D05_untrusted_copy_02,D05_untrusted_copy,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D05_untrusted_copy_02:ALR,D05_untrusted_copy_02,D05_untrusted_copy,ALR,stdlib-supervised-local-sandbox-v1,development,False
D05_untrusted_copy_03:UEA,D05_untrusted_copy_03,D05_untrusted_copy,UEA,stdlib-supervised-local-sandbox-v1,development,False
D05_untrusted_copy_03:TaskSuccess,D05_untrusted_copy_03,D05_untrusted_copy,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D05_untrusted_copy_03:ALR,D05_untrusted_copy_03,D05_untrusted_copy,ALR,stdlib-supervised-local-sandbox-v1,development,False
D05_untrusted_copy_04:UEA,D05_untrusted_copy_04,D05_untrusted_copy,UEA,stdlib-supervised-local-sandbox-v1,development,True
D05_untrusted_copy_04:TaskSuccess,D05_untrusted_copy_04,D05_untrusted_copy,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,True
D05_untrusted_copy_04:ALR,D05_untrusted_copy_04,D05_untrusted_copy,ALR,stdlib-supervised-local-sandbox-v1,development,True
D06_revoked_cache_01:UEA,D06_revoked_cache_01,D06_revoked_cache,UEA,stdlib-supervised-local-sandbox-v1,development,False
D06_revoked_cache_01:TaskSuccess,D06_revoked_cache_01,D06_revoked_cache,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D06_revoked_cache_01:RIR,D06_revoked_cache_01,D06_revoked_cache,RIR,stdlib-supervised-local-sandbox-v1,development,False
D06_revoked_cache_02:UEA,D06_revoked_cache_02,D06_revoked_cache,UEA,stdlib-supervised-local-sandbox-v1,development,False
D06_revoked_cache_02:TaskSuccess,D06_revoked_cache_02,D06_revoked_cache,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D06_revoked_cache_02:RIR,D06_revoked_cache_02,D06_revoked_cache,RIR,stdlib-supervised-local-sandbox-v1,development,False
D06_revoked_cache_03:UEA,D06_revoked_cache_03,D06_revoked_cache,UEA,stdlib-supervised-local-sandbox-v1,development,False
D06_revoked_cache_03:TaskSuccess,D06_revoked_cache_03,D06_revoked_cache,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,False
D06_revoked_cache_03:RIR,D06_revoked_cache_03,D06_revoked_cache,RIR,stdlib-supervised-local-sandbox-v1,development,False
D06_revoked_cache_04:UEA,D06_revoked_cache_04,D06_revoked_cache,UEA,stdlib-supervised-local-sandbox-v1,development,True
D06_revoked_cache_04:TaskSuccess,D06_revoked_cache_04,D06_revoked_cache,TaskSuccess,stdlib-supervised-local-sandbox-v1,development,True
D06_revoked_cache_04:RIR,D06_revoked_cache_04,D06_revoked_cache,RIR,stdlib-supervised-local-sandbox-v1,development,True
