family_id,fault_event,metric,query_id,source_id,split,unit
D03_render_report,False,UEA,D03_render_report_03:UEA,stdlib-supervised-local-sandbox-v1,development,D03_render_report_03
D03_render_report,False,TaskSuccess,D03_render_report_03:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D03_render_report_03
D03_render_report,False,UEA,D03_render_report_04:UEA,stdlib-supervised-local-sandbox-v1,development,D03_render_report_04
D03_render_report,False,TaskSuccess,D03_render_report_04:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D03_render_report_04
D04_kv_increment,False,UEA,D04_kv_increment_01:UEA,stdlib-supervised-local-sandbox-v1,development,D04_kv_increment_01
D04_kv_increment,False,TaskSuccess,D04_kv_increment_01:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D04_kv_increment_01
D04_kv_increment,False,UEA,D04_kv_increment_02:UEA,stdlib-supervised-local-sandbox-v1,development,D04_kv_increment_02
D04_kv_increment,False,TaskSuccess,D04_kv_increment_02:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D04_kv_increment_02
D04_kv_increment,False,UEA,D04_kv_increment_03:UEA,stdlib-supervised-local-sandbox-v1,development,D04_kv_increment_03
D04_kv_increment,False,TaskSuccess,D04_kv_increment_03:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D04_kv_increment_03
D04_kv_increment,True,UEA,D04_kv_increment_04:UEA,stdlib-supervised-local-sandbox-v1,development,D04_kv_increment_04
D04_kv_increment,True,TaskSuccess,D04_kv_increment_04:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D04_kv_increment_04
D05_untrusted_copy,False,UEA,D05_untrusted_copy_01:UEA,stdlib-supervised-local-sandbox-v1,development,D05_untrusted_copy_01
D05_untrusted_copy,False,TaskSuccess,D05_untrusted_copy_01:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D05_untrusted_copy_01
D05_untrusted_copy,False,ALR,D05_untrusted_copy_01:ALR,stdlib-supervised-local-sandbox-v1,development,D05_untrusted_copy_01
D05_untrusted_copy,False,UEA,D05_untrusted_copy_02:UEA,stdlib-supervised-local-sandbox-v1,development,D05_untrusted_copy_02
D05_untrusted_copy,False,TaskSuccess,D05_untrusted_copy_02:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D05_untrusted_copy_02
D05_untrusted_copy,False,ALR,D05_untrusted_copy_02:ALR,stdlib-supervised-local-sandbox-v1,development,D05_untrusted_copy_02
D05_untrusted_copy,False,UEA,D05_untrusted_copy_03:UEA,stdlib-supervised-local-sandbox-v1,development,D05_untrusted_copy_03
D05_untrusted_copy,False,TaskSuccess,D05_untrusted_copy_03:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D05_untrusted_copy_03
D05_untrusted_copy,False,ALR,D05_untrusted_copy_03:ALR,stdlib-supervised-local-sandbox-v1,development,D05_untrusted_copy_03
D05_untrusted_copy,True,UEA,D05_untrusted_copy_04:UEA,stdlib-supervised-local-sandbox-v1,development,D05_untrusted_copy_04
D05_untrusted_copy,True,TaskSuccess,D05_untrusted_copy_04:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D05_untrusted_copy_04
D05_untrusted_copy,True,ALR,D05_untrusted_copy_04:ALR,stdlib-supervised-local-sandbox-v1,development,D05_untrusted_copy_04
D06_revoked_cache,False,UEA,D06_revoked_cache_01:UEA,stdlib-supervised-local-sandbox-v1,development,D06_revoked_cache_01
D06_revoked_cache,False,TaskSuccess,D06_revoked_cache_01:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D06_revoked_cache_01
D06_revoked_cache,False,RIR,D06_revoked_cache_01:RIR,stdlib-supervised-local-sandbox-v1,development,D06_revoked_cache_01
D06_revoked_cache,False,UEA,D06_revoked_cache_02:UEA,stdlib-supervised-local-sandbox-v1,development,D06_revoked_cache_02
D06_revoked_cache,False,TaskSuccess,D06_revoked_cache_02:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D06_revoked_cache_02
D06_revoked_cache,False,RIR,D06_revoked_cache_02:RIR,stdlib-supervised-local-sandbox-v1,development,D06_revoked_cache_02
D06_revoked_cache,False,UEA,D06_revoked_cache_03:UEA,stdlib-supervised-local-sandbox-v1,development,D06_revoked_cache_03
D06_revoked_cache,False,TaskSuccess,D06_revoked_cache_03:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D06_revoked_cache_03
D06_revoked_cache,False,RIR,D06_revoked_cache_03:RIR,stdlib-supervised-local-sandbox-v1,development,D06_revoked_cache_03
D06_revoked_cache,True,UEA,D06_revoked_cache_04:UEA,stdlib-supervised-local-sandbox-v1,development,D06_revoked_cache_04
D06_revoked_cache,True,TaskSuccess,D06_revoked_cache_04:TaskSuccess,stdlib-supervised-local-sandbox-v1,development,D06_revoked_cache_04
D06_revoked_cache,True,RIR,D06_revoked_cache_04:RIR,stdlib-supervised-local-sandbox-v1,development,D06_revoked_cache_04
H01_publish_directory,False,UEA,H01_publish_directory_01:UEA,stdlib-supervised-local-sandbox-v1,heldout,H01_publish_directory_01
H01_publish_directory,False,TaskSuccess,H01_publish_directory_01:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H01_publish_directory_01
H01_publish_directory,False,UEA,H01_publish_directory_02:UEA,stdlib-supervised-local-sandbox-v1,heldout,H01_publish_directory_02
H01_publish_directory,False,TaskSuccess,H01_publish_directory_02:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H01_publish_directory_02
H01_publish_directory,False,UEA,H01_publish_directory_03:UEA,stdlib-supervised-local-sandbox-v1,heldout,H01_publish_directory_03
H01_publish_directory,False,TaskSuccess,H01_publish_directory_03:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H01_publish_directory_03
H01_publish_directory,True,UEA,H01_publish_directory_04:UEA,stdlib-supervised-local-sandbox-v1,heldout,H01_publish_directory_04
H01_publish_directory,True,TaskSuccess,H01_publish_directory_04:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H01_publish_directory_04
H02_inventory_reservation,False,UEA,H02_inventory_reservation_01:UEA,stdlib-supervised-local-sandbox-v1,heldout,H02_inventory_reservation_01
H02_inventory_reservation,False,TaskSuccess,H02_inventory_reservation_01:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H02_inventory_reservation_01
H02_inventory_reservation,False,UEA,H02_inventory_reservation_02:UEA,stdlib-supervised-local-sandbox-v1,heldout,H02_inventory_reservation_02
H02_inventory_reservation,False,TaskSuccess,H02_inventory_reservation_02:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H02_inventory_reservation_02
H02_inventory_reservation,False,UEA,H02_inventory_reservation_03:UEA,stdlib-supervised-local-sandbox-v1,heldout,H02_inventory_reservation_03
H02_inventory_reservation,False,TaskSuccess,H02_inventory_reservation_03:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H02_inventory_reservation_03
H02_inventory_reservation,True,UEA,H02_inventory_reservation_04:UEA,stdlib-supervised-local-sandbox-v1,heldout,H02_inventory_reservation_04
H02_inventory_reservation,True,TaskSuccess,H02_inventory_reservation_04:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H02_inventory_reservation_04
H03_manifest_package,False,UEA,H03_manifest_package_01:UEA,stdlib-supervised-local-sandbox-v1,heldout,H03_manifest_package_01
H03_manifest_package,False,TaskSuccess,H03_manifest_package_01:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H03_manifest_package_01
H03_manifest_package,False,UEA,H03_manifest_package_02:UEA,stdlib-supervised-local-sandbox-v1,heldout,H03_manifest_package_02
H03_manifest_package,False,TaskSuccess,H03_manifest_package_02:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H03_manifest_package_02
H03_manifest_package,False,UEA,H03_manifest_package_03:UEA,stdlib-supervised-local-sandbox-v1,heldout,H03_manifest_package_03
H03_manifest_package,False,TaskSuccess,H03_manifest_package_03:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H03_manifest_package_03
H03_manifest_package,True,UEA,H03_manifest_package_04:UEA,stdlib-supervised-local-sandbox-v1,heldout,H03_manifest_package_04
H03_manifest_package,True,TaskSuccess,H03_manifest_package_04:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H03_manifest_package_04
H04_sql_join_export,False,UEA,H04_sql_join_export_01:UEA,stdlib-supervised-local-sandbox-v1,heldout,H04_sql_join_export_01
H04_sql_join_export,False,TaskSuccess,H04_sql_join_export_01:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H04_sql_join_export_01
H04_sql_join_export,False,UEA,H04_sql_join_export_02:UEA,stdlib-supervised-local-sandbox-v1,heldout,H04_sql_join_export_02
H04_sql_join_export,False,TaskSuccess,H04_sql_join_export_02:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H04_sql_join_export_02
H04_sql_join_export,False,UEA,H04_sql_join_export_03:UEA,stdlib-supervised-local-sandbox-v1,heldout,H04_sql_join_export_03
H04_sql_join_export,False,TaskSuccess,H04_sql_join_export_03:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H04_sql_join_export_03
H04_sql_join_export,False,UEA,H04_sql_join_export_04:UEA,stdlib-supervised-local-sandbox-v1,heldout,H04_sql_join_export_04
H04_sql_join_export,False,TaskSuccess,H04_sql_join_export_04:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H04_sql_join_export_04
H05_queued_approval,False,UEA,H05_queued_approval_01:UEA,stdlib-supervised-local-sandbox-v1,heldout,H05_queued_approval_01
H05_queued_approval,False,TaskSuccess,H05_queued_approval_01:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H05_queued_approval_01
H05_queued_approval,False,ALR,H05_queued_approval_01:ALR,stdlib-supervised-local-sandbox-v1,heldout,H05_queued_approval_01
H05_queued_approval,False,UEA,H05_queued_approval_02:UEA,stdlib-supervised-local-sandbox-v1,heldout,H05_queued_approval_02
H05_queued_approval,False,TaskSuccess,H05_queued_approval_02:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H05_queued_approval_02
H05_queued_approval,False,ALR,H05_queued_approval_02:ALR,stdlib-supervised-local-sandbox-v1,heldout,H05_queued_approval_02
H05_queued_approval,False,UEA,H05_queued_approval_03:UEA,stdlib-supervised-local-sandbox-v1,heldout,H05_queued_approval_03
H05_queued_approval,False,TaskSuccess,H05_queued_approval_03:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H05_queued_approval_03
H05_queued_approval,False,ALR,H05_queued_approval_03:ALR,stdlib-supervised-local-sandbox-v1,heldout,H05_queued_approval_03
H05_queued_approval,True,UEA,H05_queued_approval_04:UEA,stdlib-supervised-local-sandbox-v1,heldout,H05_queued_approval_04
H05_queued_approval,True,TaskSuccess,H05_queued_approval_04:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H05_queued_approval_04
H05_queued_approval,True,ALR,H05_queued_approval_04:ALR,stdlib-supervised-local-sandbox-v1,heldout,H05_queued_approval_04
H06_revoked_lease_journal,False,UEA,H06_revoked_lease_journal_01:UEA,stdlib-supervised-local-sandbox-v1,heldout,H06_revoked_lease_journal_01
H06_revoked_lease_journal,False,TaskSuccess,H06_revoked_lease_journal_01:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H06_revoked_lease_journal_01
H06_revoked_lease_journal,False,RIR,H06_revoked_lease_journal_01:RIR,stdlib-supervised-local-sandbox-v1,heldout,H06_revoked_lease_journal_01
H06_revoked_lease_journal,False,UEA,H06_revoked_lease_journal_02:UEA,stdlib-supervised-local-sandbox-v1,heldout,H06_revoked_lease_journal_02
H06_revoked_lease_journal,False,TaskSuccess,H06_revoked_lease_journal_02:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H06_revoked_lease_journal_02
H06_revoked_lease_journal,False,RIR,H06_revoked_lease_journal_02:RIR,stdlib-supervised-local-sandbox-v1,heldout,H06_revoked_lease_journal_02
H06_revoked_lease_journal,False,UEA,H06_revoked_lease_journal_03:UEA,stdlib-supervised-local-sandbox-v1,heldout,H06_revoked_lease_journal_03
H06_revoked_lease_journal,False,TaskSuccess,H06_revoked_lease_journal_03:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H06_revoked_lease_journal_03
H06_revoked_lease_journal,False,RIR,H06_revoked_lease_journal_03:RIR,stdlib-supervised-local-sandbox-v1,heldout,H06_revoked_lease_journal_03
H06_revoked_lease_journal,True,UEA,H06_revoked_lease_journal_04:UEA,stdlib-supervised-local-sandbox-v1,heldout,H06_revoked_lease_journal_04
H06_revoked_lease_journal,True,TaskSuccess,H06_revoked_lease_journal_04:TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,H06_revoked_lease_journal_04
H06_revoked_lease_journal,True,RIR,H06_revoked_lease_journal_04:RIR,stdlib-supervised-local-sandbox-v1,heldout,H06_revoked_lease_journal_04
