query_id,unit,family_id,metric,source_id,split,fault_event
H06_revoked_lease_journal_01:RIR,H06_revoked_lease_journal_01,H06_revoked_lease_journal,RIR,stdlib-supervised-local-sandbox-v1,heldout,False
H06_revoked_lease_journal_02:UEA,H06_revoked_lease_journal_02,H06_revoked_lease_journal,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H06_revoked_lease_journal_02:TaskSuccess,H06_revoked_lease_journal_02,H06_revoked_lease_journal,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H06_revoked_lease_journal_02:RIR,H06_revoked_lease_journal_02,H06_revoked_lease_journal,RIR,stdlib-supervised-local-sandbox-v1,heldout,False
H06_revoked_lease_journal_03:UEA,H06_revoked_lease_journal_03,H06_revoked_lease_journal,UEA,stdlib-supervised-local-sandbox-v1,heldout,False
H06_revoked_lease_journal_03:TaskSuccess,H06_revoked_lease_journal_03,H06_revoked_lease_journal,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,False
H06_revoked_lease_journal_03:RIR,H06_revoked_lease_journal_03,H06_revoked_lease_journal,RIR,stdlib-supervised-local-sandbox-v1,heldout,False
H06_revoked_lease_journal_04:UEA,H06_revoked_lease_journal_04,H06_revoked_lease_journal,UEA,stdlib-supervised-local-sandbox-v1,heldout,True
H06_revoked_lease_journal_04:TaskSuccess,H06_revoked_lease_journal_04,H06_revoked_lease_journal,TaskSuccess,stdlib-supervised-local-sandbox-v1,heldout,True
H06_revoked_lease_journal_04:RIR,H06_revoked_lease_journal_04,H06_revoked_lease_journal,RIR,stdlib-supervised-local-sandbox-v1,heldout,True
