phase,run_id,request_id,explicit_reason,raw_db_files,raw_db_sha256
f,run-10524fffc21b06265f8f5c9b,event-2f1507b6972ba28a,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/10524fffc21b06265f8f5c9b/state.sqlite""]","[""9bfeba2cc952ad1c8e15d2e9b9f62f54dd1a974c285386592bab56501fe80067""]"
f,run-6b19059f096b47a048b5018f,event-a6dee8058c97fef4,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/6b19059f096b47a048b5018f/state.sqlite""]","[""14c950571a7e29db3f1c435a8fee43f7522f425c678844c43ea31b918e71fb3d""]"
f,run-739af8a05d0cb4b569aac31e,event-1565f66795aa8417,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/739af8a05d0cb4b569aac31e/state.sqlite""]","[""1138b17a8e157538eb1c97c54d8e379d2c2d0f636a651a2a633e72b662001fcb""]"
f,run-c71a695dc194f3a4ad6b8ee6,event-0e381aa9beb47084,,"[""runs/t17-v2-live-20260904-02/model1/attempt-01/raw/core/c71a695dc194f3a4ad6b8ee6/state.sqlite""]","[""d7d396fadeb7b9d91aac8d837ae2f2d475e63cfb697081d5fb6fba945ec858d5""]"
g,run-50b4c000cc6173488d8b3b2a,event-ab7525b10e63fc60,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/50b4c000cc6173488d8b3b2a/state.sqlite""]","[""4f7c4e6a506cc434c36881d06e267e26e7a36038edd0a876335a89d2410a0e18""]"
g,run-e79fe8b0d77af7fd5f42076d,event-fd866c7b4f84ea51,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/e79fe8b0d77af7fd5f42076d/state.sqlite""]","[""9d76449d2df342078ddc3ca64ee1013cca5fa93b4eda9a51d1c1029ff7b59270""]"
g,run-93d285f3e71dc54c88b42d76,event-1b58a01d3e612ed6,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/93d285f3e71dc54c88b42d76/state.sqlite""]","[""67e06eff2f18c61199cd2728f8660b04dcbd4ebf59dcdd00e8c135aea847b0a3""]"
g,run-ab93c7744d254a9e7af9cf13,event-f1939758d86d9ec3,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/ab93c7744d254a9e7af9cf13/state.sqlite""]","[""60e40c6977e838ad77c17995bc283b9dce872b78d641ff932081e1a0defbf927""]"
g,run-e5d19331f22d959b604265b7,event-1339e95d54dbab97,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/e5d19331f22d959b604265b7/state.sqlite""]","[""938573b7cd5d63f1ded16b00692f0285c114e948080d291cf63a8ce75aa6d478""]"
g,run-82f65cf35cda4f7b2350027a,event-1c191f8f2985eab6,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/82f65cf35cda4f7b2350027a/state.sqlite""]","[""5881d51b70b64b4d110181f0b34760b652ddea21d09a10f52f78891cb2f6646d""]"
g,run-5ede83fed80bbd2984a70a7b,event-7c3bca2bf23ff468,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/5ede83fed80bbd2984a70a7b/state.sqlite""]","[""515885650b9bc9f13dd4821fd0192a0e3aa7f0f1ca714f03557993fc4e085d83""]"
g,run-89abf7e96af53abffd1a39e2,event-1b45e4e7f7f1423b,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/89abf7e96af53abffd1a39e2/state.sqlite""]","[""70f1937e1959e79c2fdfbf5ede600d761b6afc2a270f6f9bd5762c3a62c83745""]"
g,run-79eb0f7e3ee3a88e0db4dd11,event-f338f8319344a730,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/79eb0f7e3ee3a88e0db4dd11/state.sqlite""]","[""6112d1038fdbc829859182507fce69c97865c989938b52202bc655c59dccd684""]"
g,run-c6c78900a0e2ec746025286c,event-0f55718ad3267fac,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/c6c78900a0e2ec746025286c/state.sqlite""]","[""c65e2979fef1be2456623a43cc697521486572d9b1c72d9d9c3d81934efbaa35""]"
g,run-89b792761bec331c281c774f,event-1f03a9aad5c4fedc,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/89b792761bec331c281c774f/state.sqlite""]","[""0452b22920612ee4ffdd60140f7ae2f424bfc386a8d7f7afdadb83825f9fa9b4""]"
g,run-b648922066bef6fccbff5caa,event-8a9d2547b5c2049a,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/b648922066bef6fccbff5caa/state.sqlite""]","[""19b500d62c962839d1bfeb2d132d64a96c0d2a76bff931fdc45a9e538c87e108""]"
g,run-ee76a1d90dd8840d7a5a772e,event-f2e9b5f1f8e25f1e,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/ee76a1d90dd8840d7a5a772e/state.sqlite""]","[""8209052b02a555c1714694194a0e23a5c7a7d1ace42dadc4bd603289c12f98ba""]"
g,run-291fda0413144721ac296fdf,event-2f1507b6972ba28a,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/291fda0413144721ac296fdf/state.sqlite""]","[""640536dcf930a09cf88720c9c34041ebe116fc7602987cb263e4c6adaa66d649""]"
g,run-b7d803b5a1e6c8839c330eb9,event-0e381aa9beb47084,,"[""runs/t17-v2-deepseek-20260904-01/model2/attempt-02/segment/core/b7d803b5a1e6c8839c330eb9/state.sqlite""]","[""2b018165199e04873e92077da12abf60df581fd09dba8d958709fd6fe678baee""]"
h,run-11b1770ac8cb179cc10bf1a3,event-ab7525b10e63fc60,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/11b1770ac8cb179cc10bf1a3/state.sqlite""]","[""c2a6d36c117c8f1d548dd05ff547fa19c09329a35222dec5a1ccca6cc5e4181e""]"
h,run-b8010d7a3534776fbee86de7,event-2750858eedbf5603,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/b8010d7a3534776fbee86de7/state.sqlite""]","[""065aa5119d10529bc126337c31a127e60e8c7c9a8170775aec322c179e542abb""]"
h,run-6179cdd604592c9267c3bff3,event-1b58a01d3e612ed6,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/6179cdd604592c9267c3bff3/state.sqlite""]","[""3614e5a80a59604b015161fed75e1161353354fe1d1e956d0b0304faaa6d5bd6""]"
h,run-52c144746708afb63839fa04,event-f1939758d86d9ec3,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/52c144746708afb63839fa04/state.sqlite""]","[""b47b80f75ebaf3bc9f851ab41cb6e0f638764938f1ad3d2a13928eb4a3370ee2""]"
h,run-c1d4f15e05e66da3c018709d,event-1339e95d54dbab97,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/c1d4f15e05e66da3c018709d/state.sqlite""]","[""6bf3640f60785b44d1938147116482cbdf6ab6e3d83290d561b05f35c62757b0""]"
h,run-97dc3d5b96e8e42be05d560f,event-3053dbaf25dada1d,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/97dc3d5b96e8e42be05d560f/state.sqlite""]","[""f3a0c315a1ecd9fb93fba1c253952615fa7fd4ab643deccb4e7833db83b34574""]"
h,run-5540869266e6b29a96b9fc30,event-1c191f8f2985eab6,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/5540869266e6b29a96b9fc30/state.sqlite""]","[""bfebf199b4d5c1bea82b6aa73dd866ac621727405995fb7a12a16d5dfcd72d69""]"
h,run-1cb6c090c13bb38efe66d070,event-7c3bca2bf23ff468,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/1cb6c090c13bb38efe66d070/state.sqlite""]","[""8c1d056436ea0606bb6319e6cc0cf2bc88e5ecc63aad50e5df9fafb6c0a7aef4""]"
h,run-e5d2d9ce98d9cc6fac74cf3c,event-1b45e4e7f7f1423b,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/e5d2d9ce98d9cc6fac74cf3c/state.sqlite""]","[""fadba03ea89a30e8db6d03549b69850404acaf19de9ecc233bacd2fc86bc467c""]"
h,run-241f0c20faf2bf315a885373,event-119572389207c581,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/241f0c20faf2bf315a885373/state.sqlite""]","[""261ee97d441140710a5a8fa6a68edce7570139bc2145468caca2619d7888a9a9""]"
h,run-a343e576fe36f3a7593671ab,event-5c3609ef90ceb83d,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/a343e576fe36f3a7593671ab/state.sqlite""]","[""3476f893517b5aaacbd1bf558b9b5f84e64e49a91596e5b0a2f83fbba3b767e2""]"
h,run-9d6c9468ba378625586267d9,event-f338f8319344a730,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/9d6c9468ba378625586267d9/state.sqlite""]","[""10a6a265d9f0835332cdb20de9ea89f2f48dc896909840690374d3f9380283e3""]"
h,run-8cfce695ca06fc5b5363613f,event-5ffba4217fe58c6a,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/8cfce695ca06fc5b5363613f/state.sqlite""]","[""9c7b4de865a0ad5954c235f6e8fc8555682a6021e23eafae17cc3c685fd0c78a""]"
h,run-40ccc64d003a288132540a5e,event-5fcba5dd5a19814a,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/40ccc64d003a288132540a5e/state.sqlite""]","[""df010e94f79ba937b10b0d037227979120ed1782c72ab7e6792e4d41e43663b4""]"
h,run-a27d880c7eac4eacc31070de,event-8a9d2547b5c2049a,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/a27d880c7eac4eacc31070de/state.sqlite""]","[""8cf81a7f0e4c91144cb4d8241c98d77bbaa1fc3ebe82206c0a6e76874a58a883""]"
h,run-5cb6c6b4db1550393238c7d8,event-cfee14c4fb1ace17,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/5cb6c6b4db1550393238c7d8/state.sqlite""]","[""56dfe550291a5c2d4de3f89fabbbb2e8c975677b3c8363c481500ec2d66c3fe6""]"
h,run-8aa4e03a0bd839b650b528cf,event-f2e9b5f1f8e25f1e,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/8aa4e03a0bd839b650b528cf/state.sqlite""]","[""688cc21bc8191a9928cebc22b2fac5a20262982335410d36232472b5ced904c1""]"
h,run-ac1619165c19e8ef2302f13b,event-6c8f35d15577c340,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/ac1619165c19e8ef2302f13b/state.sqlite""]","[""3861956bda2b9f712d218969d285c8324e96e50bb657f017002aa79c9b6285cb""]"
h,run-0d07e7eaa6fddfda973cec21,event-a6dee8058c97fef4,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/0d07e7eaa6fddfda973cec21/state.sqlite""]","[""afca571aff77037368f6328669e48682ffe3743fb3a991830ccf49616b8a3893""]"
h,run-0dc8dfea8059c0865fb16f9f,event-44e52eb27ed78634,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/0dc8dfea8059c0865fb16f9f/state.sqlite""]","[""35fe310bd476ce0770bc016a1567227198b7e9c6fa690973cab763cf191c912e""]"
h,run-e7c101fda70ee0cf92a8b7de,event-1565f66795aa8417,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/e7c101fda70ee0cf92a8b7de/state.sqlite""]","[""3a6c2f30f519b8987b089f850eff92f6be7e5072a3c18b696c06701473fabd11""]"
h,run-7e8ec89933a66a494be08223,event-0e381aa9beb47084,,"[""runs/t17-v2-luna-defense-20260904-01/defense/attempt-02/segment/core/7e8ec89933a66a494be08223/state.sqlite""]","[""5814f071705d40d394cb3a88e718fe9ead0f03d539bd80b64312a9d5d1b16f0e""]"
